npc_id;codefile;statements;self_name;quest_registers;dialogue_topics
26;CODEFILE.026;523;;;SHOW ALEISTER'S LETTER
27;CODEFILE.027;526;;;SHOW DAVENMOR'S ORDERS
28;CODEFILE.028;531;;;SHOW ALEISTER'S LETTER
29;CODEFILE.029;521;;;
30;CODEFILE.030;428;;%QUEST_SHARIA;GIVE ALEISTER'S LETTER | SHOW GALDRYN'S HORN | ELLOWYN ESCAPED FARGROVE | SHARIA HELPED ELLOWYN ESCAPE | CAPTAIN OKATTA IS TROUBLE
31;CODEFILE.031;464;;%QUEST_OKOTTA | %QUEST_SHARIA;
32;CODEFILE.032;462;;;
33;CODEFILE.033;81;;;
34;CODEFILE.034;77;;;
35;CODEFILE.035;644;;;
36;CODEFILE.036;655;;;
37;CODEFILE.037;105;;;
38;CODEFILE.038;526;;;SHOW DAVENMOR'S ORDERS
39;CODEFILE.039;72;;;
40;CODEFILE.040;116;;;
41;CODEFILE.041;128;;;
42;CODEFILE.042;160;;;
43;CODEFILE.043;194;plagued by endless shadows!;;
44;CODEFILE.044;184;;;
45;CODEFILE.045;103;;;
46;CODEFILE.046;197;Nauselom;;
47;CODEFILE.047;112;;;
48;CODEFILE.048;102;;;
49;CODEFILE.049;218;;;
50;CODEFILE.050;511;hurt;%QUEST_HORNRETURN | %QUEST_SEANCE | %QUEST_VALDANE;I SEEK ELLOWYN, DAVENMOR DAUGHTER | I SEEK VALDANE, LOVER OF ELLOWYN
51;CODEFILE.051;383;;%QUEST_SEANCE;SHOW GALDRYN'S HORN
52;CODEFILE.052;145;;;
53;CODEFILE.053;648;;%QUEST_ARGALIA;I SEEK THE COUNCIL OF ELDERS | I SEEK THE WIZARD EMMINDOR | I HAVE GALDRYN'S HORN | PETITION LORD GALEBRIAND | I BRING NEWS OF THE ARGALIA | SHOW THE ARGALIA OF ERYLDORN
54;CODEFILE.054;598;;%QUEST_ARGALIA;I SEEK AUDIENCE WITH EMMINDOR | HELP LORD DAVENMOR AND FARGROVE
55;CODEFILE.055;157;;;
56;CODEFILE.056;1460;;%QUEST_BUDOKA | %QUEST_BUSHIGUILD | %QUEST_BUSHITWO | %QUEST_DRAGONEGG | %QUEST_HATAMOTO | %QUEST_IMPERIAL | %QUEST_KENJASAI | %QUEST_MONK | %QUEST_NARAKO | %QUEST_NINJALORD | %QUEST_SAMURAI | %QUEST_SHAOLINMASTER | %QUEST_SHUGENJA | %QUEST_WARLORD;TRADE | LESSONS OF THE MASTER | SAMURAI CLASS | IMPERIAL CLASS | SHUGENJA CLASS | MONK CLASS | BUDOKA CLASS | HATAMOTO CLASS | WARLORD CLASS | KENJASAI CLASS | SHAOLEI MASTER CLASS | NINJA LORD CLASS | GIVE DRAGON EGG | I SEEK THE WIZARD EMMINDOR
57;CODEFILE.057;443;thankful Master Tamaka has sent you;%QUEST_ARGALIA | %QUEST_ELVITHRA | %QUEST_NARAKO;I WALK THE PATH OF THE TIGER
58;CODEFILE.058;912;Elvithra;%QUEST_ELVITHRA | %QUEST_ENCHANTRESS | %QUEST_SISTERGUILD | %QUEST_SISTERJOIN | %QUEST_SISTERTWO | %QUEST_VALKYRIE | %QUEST_VETRIAN | %QUEST_WARWITCH;TRADE | SECRETS OF THE SISTERHOOD | VALKYRIE CLASS | ENCHANTRESS CLASS | WAR WITCH CLASS | GIVE DHARA'S SPECIAL PACKAGE | I SEEK THE WIZARD EMMINDOR | NARAKO WAITS AT THE INN
59;CODEFILE.059;162;;;
60;CODEFILE.060;844;Deliah Irons;%QUEST_CABALIST | %QUEST_CUSTARDMAP | %QUEST_HUNTER | %QUEST_RANGERLORD | %QUEST_THIEFGUILD | %QUEST_THIEFJOIN | %QUEST_THIEFTWO | %QUEST_TRICKSTER;TRADE | TRICKS AND TRAPS | HUNTER CLASS | TRICKSTER CLASS | RANGER LORD CLASS | CABALIST CLASS | GIVE CUSTARD'S MAP | GIVE BRAE WITCHES PAINTING
61;CODEFILE.061;1302;;%QUEST_BUDOKA | %QUEST_BUSHIGUILD | %QUEST_BUSHITWO | %QUEST_DRAGONEGG | %QUEST_HATAMOTO | %QUEST_IMPERIAL | %QUEST_KENJASAI | %QUEST_MONK | %QUEST_NARAKO | %QUEST_NINJALORD | %QUEST_SAMURAI | %QUEST_SHAOLINMASTER | %QUEST_SHUGENJA | %QUEST_WARLORD;TRADE | LESSONS OF THE MASTER | SAMURAI CLASS | IMPERIAL CLASS | SHUGENJA CLASS | MONK CLASS | BUDOKA CLASS | HATAMOTO CLASS | WARLORD CLASS | KENJASAI CLASS | SHAOLEI MASTER CLASS | NINJA LORD CLASS | GIVE DRAGON EGG
62;CODEFILE.062;679;Lady Chana;%QUEST_DHARA | %QUEST_ENCHANTRESS | %QUEST_SISTERGUILD | %QUEST_SISTERJOIN | %QUEST_SISTERTWO | %QUEST_VALKYRIE | %QUEST_VETRIAN | %QUEST_WARWITCH;TRADE | SECRETS OF THE SISTERHOOD | VALKYRIE CLASS | ENCHANTRESS CLASS | WAR WITCH CLASS | I SEEK SISTER DHARA
63;CODEFILE.063;193;;;
64;CODEFILE.064;799;Sir Nil-Galand;%QUEST_DEATHLORD | %QUEST_FIGHTGUILD | %QUEST_FIGHTJOIN | %QUEST_FIGHTTWO | %QUEST_KNIGHT | %QUEST_LORD | %QUEST_MARAUDER;TRADE | FIGHTER TRAINING | KNIGHT CLASS | MARAUDER CLASS | LORD CLASS | DEATHLORD CLASS | GIVE SWORD OF STRIKING | RETURN SWORD OF FLAME | I SEEK THE WIZARD EMMINDOR
65;CODEFILE.065;848;Orlan Drey;%QUEST_CELESTIAL | %QUEST_CRUSADER | %QUEST_PALADIN | %QUEST_PRIESTGUILD | %QUEST_PRIESTJOIN | %QUEST_PRIESTTWO | %QUEST_STARGAZER;TRADE | CELESTIAL GUIDANCE | MAKE DONATION | CELESTIAL CLASS | PALADIN CLASS | STARGAZER CLASS | CRUSADER CLASS | I SEEK THE WIZARD EMMINDOR
66;CODEFILE.066;748;;%QUEST_BATTLEMAGE | %QUEST_MAGEGUILD | %QUEST_MAGEJOIN | %QUEST_MAGETWO | %QUEST_SORCERER | %QUEST_WARLOCK | %QUEST_WIZARD;TRADE | STUDY MAGIC | SORCERER CLASS | BATTLEMAGE CLASS | WIZARD CLASS | WARLOCK CLASS | GIVE STAFF OF SCORCHING
67;CODEFILE.067;435;;;DRINK ELVEN TEA | RENT A ROOM | I SEEK THE WIZARD EMMINDOR
68;CODEFILE.068;126;;;
69;CODEFILE.069;364;;;SHOW FATHIEN PASS
70;CODEFILE.070;103;;;
71;CODEFILE.071;97;;;
72;CODEFILE.072;362;;%QUEST_VETRIAN;ASK ABOUT ARGALIA OF ERYLDORN
73;CODEFILE.073;293;;;SHOW FATHIEN PASS
74;CODEFILE.074;258;;%QUEST_GILEAH | %QUEST_SHARIA;TELL ME ABOUT ELLOWYN
75;CODEFILE.075;496;Valdane Graemare;%QUEST_VALDANE;I WAS SENT BY LORD GRAEMARE | I NEED YOUR BLOOD TO FIND ELLOWYN
76;CODEFILE.076;316;;;
77;CODEFILE.077;256;imprisoned by this Ward of Confinement!;;IT IS THE DAY OF DAYS
78;CODEFILE.078;121;Khad;;
79;CODEFILE.079;75;;;
80;CODEFILE.080;256;;;
81;CODEFILE.081;123;;;
82;CODEFILE.082;80;;;
83;CODEFILE.083;120;;;
84;CODEFILE.084;575;;;RECLAIM VARTUGG'S BARGAIN | BARGAIN FOR STRENGTH | BARGAIN FOR INTELLECT | BARGAIN FOR DEXTERITY | BARGAIN FOR AGILITY | BARGAIN FOR VITALITY
85;CODEFILE.085;107;;;
86;CODEFILE.086;139;the Watcher!;%QUEST_TOMBENTRY | %QUEST_TRICKSTER;AVAT DEMONICUM | SUMMON THE FIEND AGULA | LET ME ENTER HEREIN
87;CODEFILE.087;100;;;
88;CODEFILE.088;240;;;
89;CODEFILE.089;97;;;
90;CODEFILE.090;646;;%QUEST_BLOODVIAL | %QUEST_CABALIST | %QUEST_HUNTER | %QUEST_RANGERLORD | %QUEST_THIEFGUILD | %QUEST_THIEFJOIN | %QUEST_THIEFTWO | %QUEST_TRICKSTER | %QUEST_VALDANE | %QUEST_VORAATUS;TRADE | TRICKS AND TRAPS | HUNTER CLASS | TRICKSTER CLASS | RANGER LORD CLASS | CABALIST CLASS | GIVE CUSTARD'S MAP | GIVE BRAE WITCHES PAINTING | GIVE MARA'S LETTER FOR VARTUGG | I WANT TO SEE VARTUGG
91;CODEFILE.091;349;;;
92;CODEFILE.092;268;Worglaw;%QUEST_TOTEM;TRADE | I NEED THE TOTEM OF THE TREE
93;CODEFILE.093;308;Wuldenfyr;;GIVE TOTEM OF THE TREE
94;CODEFILE.094;185;;;
95;CODEFILE.095;392;;%QUEST_GRYMLOK | %QUEST_MAGEGUILD;TRADE | ALTOR VARE ROSTRUM
96;CODEFILE.096;194;;%QUEST_TOMBENTRY;I SEEK A BARGAIN WITH VORAATUS | I AM LOST AND I NEED HELP
97;CODEFILE.097;220;;%QUEST_CIRCLESTONES;IRYNTHABL | LET ME PASS
98;CODEFILE.098;126;;;
99;CODEFILE.099;114;;;
100;CODEFILE.100;160;protected by Ikrella;;
101;CODEFILE.101;189;;;
102;CODEFILE.102;175;;;
103;CODEFILE.103;175;;;
104;CODEFILE.104;204;;;
105;CODEFILE.105;71;;;
106;CODEFILE.106;99;;;
107;CODEFILE.107;107;;;
108;CODEFILE.108;201;being attacked!;%QUEST_DHARA;
109;CODEFILE.109;81;;;
110;CODEFILE.110;390;;;
111;CODEFILE.111;347;;;SHOW DAVENMOR'S ORDERS
112;CODEFILE.112;224;;;I SEEK VALDANE GRAEMARE
113;CODEFILE.113;246;;;
114;CODEFILE.114;138;;;
115;CODEFILE.115;112;;;
116;CODEFILE.116;400;;;
117;CODEFILE.117;101;;;
118;CODEFILE.118;446;;;TRADE | SELL THUNDERIN' HAMMER TO ME | GIVE THUNDERIN' HAMMER
119;CODEFILE.119;386;Feros Duul!;%QUEST_MAGEGUILD | %QUEST_MAGETWO;TRADE | GIVE IDOL OF DEATH
120;CODEFILE.120;117;Laerok Maa;;
121;CODEFILE.121;163;;;BUY TICKET: SWAMP BEAST -  50 GOLD | BUY TICKET: SKULK BLADE - 200 GOLD | BUY TICKET: GLADIATOR   - 500 GOLD
122;CODEFILE.122;148;;;
123;CODEFILE.123;458;;;DEAD GOAT ALE - 5 GOLD | HAPPY JACK BREW - 15 GOLD | KICK 'N DA HEAD STUFF - 25 GOLD
124;CODEFILE.124;219;engaged with Minas Taw at the moment!;%QUEST_FIGHTTWO;
125;CODEFILE.125;114;a master of the blade!;;
126;CODEFILE.126;149;Talya;%QUEST_SISTERTWO;
127;CODEFILE.127;117;Kaugris!;;
128;CODEFILE.128;232;grateful for your service against the Bounty;%QUEST_BUSHITWO;
129;CODEFILE.129;114;;;
130;CODEFILE.130;276;;;
131;CODEFILE.131;294;;;
132;CODEFILE.132;113;;;
133;CODEFILE.133;169;;;
134;CODEFILE.134;106;;;
135;CODEFILE.135;448;;;
136;CODEFILE.136;116;;;
137;CODEFILE.137;227;;;
138;CODEFILE.138;110;;;
139;CODEFILE.139;112;;;
140;CODEFILE.140;71;;;
141;CODEFILE.141;300;Uriel;%QUEST_MALOKAN;
142;CODEFILE.142;160;Palomir;;TRADE
143;CODEFILE.143;109;;;
144;CODEFILE.144;374;;;
145;CODEFILE.145;491;Erlinmir;%QUEST_FLASK;GIVE FLASK TO ERLINMIR
146;CODEFILE.146;117;L'Cuda Flamebone;;
147;CODEFILE.147;186;;;
148;CODEFILE.148;270;;%QUEST_VAMPI;
149;CODEFILE.149;346;;;
150;CODEFILE.150;415;;;
151;CODEFILE.151;643;;;
152;CODEFILE.152;747;;;
153;CODEFILE.153;309;;;
154;CODEFILE.154;73;;;
155;CODEFILE.155;245;;%QUEST_BIGBADMOG;
156;CODEFILE.156;103;;;
157;CODEFILE.157;115;;;
158;CODEFILE.158;120;;;
