slot;param_name
524;XTILE
525;YTILE
526;ZTILE
527;BSPNUM
528;DIR
529;RADIUS
530;MONINIT
531;SFX
532;INSTIDX
533;NAVPNT
534;BSPNUM
535;!STATE
536;STATUSON
537;STATUSOFF
538;DELAY
539;!EVENT
540;!STATE
541;ITEM
542;!WOCCUPIED
543;EFX
544;SFX
545;SPELL
546;XTILE
547;YTILE
548;ZTILE
549;XDST
550;YDST
551;ZDST
552;BSPNUM
553;!BOUNDNUM
554;!STATE
555;STATUSON
556;STATUSOFF
557;TOWN
558;ITEMA
559;ITEMB
560;ITEMA
561;!EVENT
562;ITEMA
563;!EVENT
564;ITEMA
565;!EVENT
566;ITEMA
567;!EVENT
568;!STATEA
569;!STATEB
570;!STATEC
571;!STATETOGGLE
572;STATUS
573;PROPID
574;XTILE
575;YTILE
576;ZTILE
577;BSPNUM
578;FLAGNUM
579;OLDVAL
580;VALUE
581;FLAGNUM
582;OLDVAL
583;VALUE
584;!STATE
585;FLAGNUM
586;OLDVAL
587;VALUE
588;!STATE
589;ENDNUM
590;DELAY
591;MONREC
592;!STATE
593;STATUS
594;PROPID
595;XTILE
596;YTILE
597;ZTILE
598;BSPNUM
599;SPEED
600;ALTERTYPE
601;VALUE
602;FLAGNUM
603;!STATE
604;XTILE
605;YTILE
606;ZTILE
607;BSPNUM
608;DAMAGE
609;POISON
610;SFX
611;GROUND
612;DOOR
613;SPEED
614;!STATE
615;NAVPNT
616;DELAYA
617;DELAYB
618;!SWITCH
619;SWSTATUS
620;SFXREC
621;DOORA
622;DOORB
623;SPEED
624;!STATE
625;NAVPNT
626;DELAYA
627;DELAYB
628;!SWITCH
629;SWSTATUS
630;SFXREC
631;!STATE
632;DELAY
633;!SWITCH
634;SWSTATUS
635;DUMMY
636;!STATE
637;!BOUNDNUM
638;!SWITCH
639;STATUS
640;SEGMENT
641;BSPNUM
642;SEGSWITCH
643;SEGSTATUS
644;DELAY
645;XPOS
646;YPOS
647;ZPOS
648;!STATE
649;!BOUNDNUM
650;!SWITCH
651;STATUS
652;SEGMENT
653;BSPNUM
654;SEGSWITCH
655;SEGSTATUS
656;DELAY
657;XPOS
658;YPOS
659;ZPOS
660;!BOUNDNUM
661;SEGMENT
662;BSPNUM
663;SEGSWITCH
664;SEGSTATUS
665;DELAY
666;XPOS
667;YPOS
668;ZPOS
669;!STATE
670;!SWITCH
671;SWSTATUS
672;!STATE
673;PROPID
674;STATUSON
675;STATUSOFF
676;DOORA
677;!BOUNDNUM
678;SPEED
679;DIR
680;!SWITCHA
681;!SWITCHB
682;!SWITCHC
683;!SWITCHD
684;!STATE
685;STATUS
686;PROPIDA
687;RADIUS
688;RED
689;GREEN
690;BLUE
691;PROPID
692;XTILE
693;YTILE
694;ZTILE
695;BSPNUM
696;SPEED
697;RADIUS
698;ANGLE
699;PROPID
700;MONA
701;VALUE
702;PROPID
703;ANIMSET
704;!STATE
705;!STATEA
706;STATUS
707;!BOUNDNUM
708;MONREC
709;XTILE
710;YTILE
711;ZTILE
712;BSPNUM
713;DIR
714;RADIUS
715;MONINIT
716;SPAWNSFX
717;EFX
718;EFXSFX
719;OBJNUM
720;YOFFSET
721;DELAY
722;WAIT
723;!STATE
724;MAXCOUNT
725;TRACKFLAG
726;PROPID
727;!BOUNDNUM
728;YTILE
729;PROPID
730;TWIDTYPE
731;!STATE
732;STATUSON
733;STATUSOFF
734;NUMTEST
735;!STATEA
736;!STATEB
737;!STATEC
738;!STATED
739;!STATEE
740;!XSTATE
741;STATUS
742;EFX
743;SFX
744;SPELL
745;OBJNUM
746;ANGLE
747;DOOR
748;SPEED
749;!STATE
750;NAVPNT
751;SFXREC
752;!STATEA
753;!STATEB
754;DELAY
755;STATUSON
756;STATUSOFF
757;!STATEA
758;!STATEB
759;STATUS
760;MONID
761;MAN
762;POS
763;ITEM
764;PROPID
765;ATTACH
766;ANGLE
767;MONA
768;MONB
769;MONC
770;MOND
771;NUMTEST
772;!STATEA
773;!STATEB
774;!STATEC
775;!STATED
776;!STATEE
777;DOOR
778;SPEED
779;!STATE
780;NAVPNT
781;DELAY
782;!SWITCHA
783;!SWITCHB
784;SWSTATUS
785;SFXREC
786;!STATEA
787;!STATEB
788;!STATEC
789;STATUSON
790;STATUSOFF
791;DOOR
792;SPEED
793;!STATE
794;NAVPNT
795;DELAY
796;!SWITCHA
797;!SWITCHB
798;SWSTATUS
799;SFXREC
800;DOOR
801;SPEED
802;NAVPNT
803;SFXREC
804;!STATEA
805;!STATEB
806;!STATEC
807;STATUSON
808;STATUSOFF
809;TYPENUM
810;REFNUM
811;XTILE
812;YTILE
813;ZTILE
814;XDST
815;YDST
816;ZDST
817;BSPNUM
818;TYPENUM
819;REFNUM
820;PROPIDA
821;ATTACHA
822;PROPIDB
823;ATTACHB
824;YOFFSET
825;STATUS
826;TABLE
827;BSPNUM
828;DOOR
829;SPEED
830;!STATE
831;MOVEDIR
832;SFXREC
833;!STATEA
834;!STATEB
835;STATUSON
836;STATUSOFF
837;!STATEA
838;!STATEB
839;!STATEC
840;STATUSON
841;STATUSOFF
842;!STATEA
843;!STATED
844;!STATEB
845;!STATEC
846;STATUSON
847;STATUSOFF
848;!STATEA
849;!STATEB
850;!STATEC
851;STATUSON
852;STATUSOFF
853;!STATEA
854;!STATEB
855;!STATEC
856;STATUSON
857;STATUSOFF
858;!STATEA
859;!STATEB
860;!STATEC
861;!STATETOGGLE
862;STATUS
863;!BOUNDNUM
864;SEGMENT
865;BSPNUM
866;SEGSWITCH
867;SEGSTATUS
868;DELAY
869;XPOS
870;YPOS
871;ZPOS
872;!STATE
873;STATUS
874;!SWITCHA
875;!SWITCHB
876;!STATE
877;STATUSON
878;STATUSOFF
879;FLAGNUM
880;QVAL
881;!EVENTA
882;!EVENT
883;DELAY
884;!STATE
885;!STATEA
886;!STATEB
887;STATUSON
888;!EVENTA
889;!ITEMA
890;!ITEMB
891;!ITEMC
892;!ITEMD
893;!STATEA
894;!STATEB
895;!STATEC
896;!STATED
897;!STATEE
898;STATUSON
899;!ITEM
900;!STATE
901;STATUSON
902;DOORA
903;DOORB
904;SPEED
905;DELAY
906;!STATE
907;NAVPNT
908;SFXREC
909;DOOR
910;SPEED
911;NAVPNT
912;MAXMOVE
913;MOVEACCUM
914;MOVEDIR
915;SFXREC
916;XSFX
917;XDIR
918;DEL1
919;SPD2
920;MAX2
921;DEL2
922;SPD3
923;MAX3
924;DEL3
925;SPD4
926;MAX4
927;DEL4
928;SPD5
929;PROPA
930;MONA
931;STATUS
932;XTILE
933;YTILE
934;ZTILE
935;BSPNUM
936;RADIUS
937;VALUE
938;MONID
939;!STATE
940;DELAY
941;MONREC
942;XTILE
943;YTILE
944;ZTILE
945;BSPNUM
946;DIR
947;RADIUS
948;MONINIT
949;XSFX
950;INSTIDX
951;EFX
952;SFX
953;SPELL
954;XDST
955;YDST
956;ZDST
957;TYPE
958;VALUE
959;ITEM
960;PROPID
961;XTILE
962;YTILE
963;ZTILE
964;!WOCCUPIED
965;YROT
966;NOSELECT
967;ITEM
968;!WOCCUPIED
969;SELECT
970;!STATEA
971;!STATEB
972;!STATEC
973;STATUSON
974;STATUSOFF
975;!BOUNDNUM
976;SEGMENT
977;BSPNUM
978;SEGSWITCH
979;SEGSTATUS
980;DELAY
981;XPOS
982;YPOS
983;ZPOS
984;XTILE
985;YTILE
986;ZTILE
987;BSPNUM
988;GROUND
989;!BOUNDNUM
990;PROPID
991;SFX
992;PROPID
993;!STATEA
994;!STATEB
995;!STATEC
996;STATUS
997;!STATE
998;STATUS
999;FLAGNUM
1000;QVAL
1001;!EVENTA
1002;!BOUNDNUM
1003;SEGMENT
1004;BSPNUM
1005;SEGSWITCH
1006;SEGSTATUS
1007;DELAY
1008;XPOS
1009;YPOS
1010;ZPOS
1011;!STATE
1012;STATUS
