group;region;file;bytes;count_u32;avg_bytes_per_record
TRAP;17;D6TRAP17.DAT;4;0;
TRAP;18;D6TRAP18.DAT;4;0;
TRAP;19;D6TRAP19.DAT;4;0;
TRAP;20;D6TRAP20.DAT;4;0;
TRAP;21;D6TRAP21.DAT;4;0;
TRAP;22;D6TRAP22.DAT;4;0;
TRAP;23;D6TRAP23.DAT;4;0;
TRAP;24;D6TRAP24.DAT;4;0;
TRAP;25;D6TRAP25.DAT;4;0;
TRAP;26;D6TRAP26.DAT;4;0;
TRAP;27;D6TRAP27.DAT;4;0;
TRAP;28;D6TRAP28.DAT;4;0;
TRAP;29;D6TRAP29.DAT;4;0;
TRAP;30;D6TRAP30.DAT;4;0;
TRAP;31;D6TRAP31.DAT;4;0;
TRAP;32;D6TRAP32.DAT;108;2;52.0
TRAP;33;D6TRAP33.DAT;4;0;
TRAP;34;D6TRAP34.DAT;72;1;68.0
TRAP;35;D6TRAP35.DAT;612;16;38.0
TRAP;36;D6TRAP36.DAT;4;0;
TRAP;37;D6TRAP37.DAT;72;1;68.0
TRAP;38;D6TRAP38.DAT;1152;31;37.032
TRAP;39;D6TRAP39.DAT;4;0;
TRAP;40;D6TRAP40.DAT;180;4;44.0
TRAP;41;D6TRAP41.DAT;108;2;52.0
TRAP;42;D6TRAP42.DAT;4;0;
TRAP;43;D6TRAP43.DAT;468;12;38.667
TRAP;44;D6TRAP44.DAT;2088;55;37.891
TRAP;45;D6TRAP45.DAT;1008;27;37.185
TRAP;46;D6TRAP46.DAT;144;3;46.667
TRAP;47;D6TRAP47.DAT;1188;32;37.0
TRAP;48;D6TRAP48.DAT;1224;33;36.97
TRAP;49;D6TRAP49.DAT;1764;48;36.667
TRAP;50;D6TRAP50.DAT;1080;29;37.103
TRAP;51;D6TRAP51.DAT;4;0;
TRAP;52;D6TRAP52.DAT;4;0;
TRAP;53;D6TRAP53.DAT;4;0;
TRAP;54;D6TRAP54.DAT;4;0;
TRAP;55;D6TRAP55.DAT;4;0;
TRAP;56;D6TRAP56.DAT;4;0;
TRAP;57;D6TRAP57.DAT;4;0;
TRAP;58;D6TRAP58.DAT;4;0;
TRAP;59;D6TRAP59.DAT;4;0;
TRAP;60;D6TRAP60.DAT;4;0;
TRAP;61;D6TRAP61.DAT;4;0;
TRAP;62;D6TRAP62.DAT;4;0;
TRAP;63;D6TRAP63.DAT;4;0;
SWIT;00;D6SWIT00.DAT;861;40;21.425
SWIT;01;D6SWIT01.DAT;4;0;
SWIT;02;D6SWIT02.DAT;4;0;
SWIT;03;D6SWIT03.DAT;4;0;
SWIT;04;D6SWIT04.DAT;48;1;44.0
SWIT;05;D6SWIT05.DAT;189;8;23.125
SWIT;06;D6SWIT06.DAT;168;1;164.0
SWIT;07;D6SWIT07.DAT;63;2;29.5
SWIT;08;D6SWIT08.DAT;48;1;44.0
SWIT;09;D6SWIT09.DAT;126;5;24.4
SWIT;10;D6SWIT10.DAT;48;1;44.0
SWIT;11;D6SWIT11.DAT;63;2;29.5
SWIT;12;D6SWIT12.DAT;189;8;23.125
SWIT;13;D6SWIT13.DAT;4;0;
SWIT;14;D6SWIT14.DAT;42;1;38.0
SWIT;15;D6SWIT15.DAT;168;7;23.429
SWIT;16;D6SWIT16.DAT;483;22;21.773
SWIT;17;D6SWIT17.DAT;4;0;
SWIT;18;D6SWIT18.DAT;4;0;
SWIT;19;D6SWIT19.DAT;4;0;
SWIT;20;D6SWIT20.DAT;4;0;
SWIT;21;D6SWIT21.DAT;4;0;
SWIT;22;D6SWIT22.DAT;4;0;
SWIT;23;D6SWIT23.DAT;4;0;
SWIT;24;D6SWIT24.DAT;4;0;
SWIT;25;D6SWIT25.DAT;4;0;
SWIT;26;D6SWIT26.DAT;4;0;
SWIT;27;D6SWIT27.DAT;4;0;
SWIT;28;D6SWIT28.DAT;4;0;
SWIT;29;D6SWIT29.DAT;4;0;
SWIT;30;D6SWIT30.DAT;4;0;
SWIT;31;D6SWIT31.DAT;4;0;
SWIT;32;D6SWIT32.DAT;648;26;24.769
SWIT;33;D6SWIT33.DAT;4;0;
SWIT;34;D6SWIT34.DAT;42;1;38.0
SWIT;35;D6SWIT35.DAT;384;15;25.333
SWIT;36;D6SWIT36.DAT;168;7;23.429
SWIT;37;D6SWIT37.DAT;48;1;44.0
SWIT;38;D6SWIT38.DAT;84;3;26.667
SWIT;39;D6SWIT39.DAT;210;9;22.889
SWIT;40;D6SWIT40.DAT;483;22;21.773
SWIT;41;D6SWIT41.DAT;189;8;23.125
SWIT;42;D6SWIT42.DAT;462;21;21.81
SWIT;43;D6SWIT43.DAT;252;11;22.545
SWIT;44;D6SWIT44.DAT;1071;50;21.34
SWIT;45;D6SWIT45.DAT;735;34;21.5
SWIT;46;D6SWIT46.DAT;399;18;21.944
SWIT;47;D6SWIT47.DAT;1071;50;21.34
SWIT;48;D6SWIT48.DAT;210;9;22.889
SWIT;49;D6SWIT49.DAT;924;43;21.395
SWIT;50;D6SWIT50.DAT;567;26;21.654
SWIT;51;D6SWIT51.DAT;4;0;
SWIT;52;D6SWIT52.DAT;4;0;
SWIT;53;D6SWIT53.DAT;4;0;
SWIT;54;D6SWIT54.DAT;4;0;
SWIT;55;D6SWIT55.DAT;4;0;
SWIT;56;D6SWIT56.DAT;4;0;
SWIT;57;D6SWIT57.DAT;4;0;
SWIT;58;D6SWIT58.DAT;4;0;
SWIT;59;D6SWIT59.DAT;4;0;
SWIT;60;D6SWIT60.DAT;4;0;
SWIT;61;D6SWIT61.DAT;4;0;
SWIT;62;D6SWIT62.DAT;4;0;
SWIT;63;D6SWIT63.DAT;4;0;
BOUN;00;D6BOUN00.DAT;5358;140;38.243
BOUN;01;D6BOUN01.DAT;4;0;
BOUN;02;D6BOUN02.DAT;4;0;
BOUN;03;D6BOUN03.DAT;4;0;
BOUN;04;D6BOUN04.DAT;76;1;72.0
BOUN;05;D6BOUN05.DAT;950;24;39.417
BOUN;06;D6BOUN06.DAT;342;8;42.25
BOUN;07;D6BOUN07.DAT;76;1;72.0
BOUN;08;D6BOUN08.DAT;76;1;72.0
BOUN;09;D6BOUN09.DAT;1976;51;38.667
BOUN;10;D6BOUN10.DAT;76;1;72.0
BOUN;11;D6BOUN11.DAT;228;5;44.8
BOUN;12;D6BOUN12.DAT;114;1;110.0
BOUN;13;D6BOUN13.DAT;4;0;
BOUN;14;D6BOUN14.DAT;380;9;41.778
BOUN;15;D6BOUN15.DAT;494;12;40.833
BOUN;16;D6BOUN16.DAT;1748;45;38.756
BOUN;17;D6BOUN17.DAT;4;0;
BOUN;18;D6BOUN18.DAT;4;0;
BOUN;19;D6BOUN19.DAT;4;0;
BOUN;20;D6BOUN20.DAT;4;0;
BOUN;21;D6BOUN21.DAT;4;0;
BOUN;22;D6BOUN22.DAT;4;0;
BOUN;23;D6BOUN23.DAT;4;0;
BOUN;24;D6BOUN24.DAT;4;0;
BOUN;25;D6BOUN25.DAT;4;0;
BOUN;26;D6BOUN26.DAT;4;0;
BOUN;27;D6BOUN27.DAT;4;0;
BOUN;28;D6BOUN28.DAT;4;0;
BOUN;29;D6BOUN29.DAT;4;0;
BOUN;30;D6BOUN30.DAT;4;0;
BOUN;31;D6BOUN31.DAT;4;0;
BOUN;32;D6BOUN32.DAT;440;10;43.6
BOUN;33;D6BOUN33.DAT;4;0;
BOUN;34;D6BOUN34.DAT;4;0;
BOUN;35;D6BOUN35.DAT;520;12;43.0
BOUN;36;D6BOUN36.DAT;494;12;40.833
BOUN;37;D6BOUN37.DAT;80;1;76.0
BOUN;38;D6BOUN38.DAT;456;11;41.091
BOUN;39;D6BOUN39.DAT;152;3;49.333
BOUN;40;D6BOUN40.DAT;722;18;39.889
BOUN;41;D6BOUN41.DAT;228;5;44.8
BOUN;42;D6BOUN42.DAT;1596;41;38.829
BOUN;43;D6BOUN43.DAT;722;18;39.889
BOUN;44;D6BOUN44.DAT;836;21;39.619
BOUN;45;D6BOUN45.DAT;10146;266;38.128
BOUN;46;D6BOUN46.DAT;1064;27;39.259
BOUN;47;D6BOUN47.DAT;4598;120;38.283
BOUN;48;D6BOUN48.DAT;608;15;40.267
BOUN;49;D6BOUN49.DAT;2280;59;38.576
BOUN;50;D6BOUN50.DAT;1368;35;38.971
BOUN;51;D6BOUN51.DAT;4;0;
BOUN;52;D6BOUN52.DAT;4;0;
BOUN;53;D6BOUN53.DAT;4;0;
BOUN;54;D6BOUN54.DAT;4;0;
BOUN;55;D6BOUN55.DAT;4;0;
BOUN;56;D6BOUN56.DAT;4;0;
BOUN;57;D6BOUN57.DAT;4;0;
BOUN;58;D6BOUN58.DAT;4;0;
BOUN;59;D6BOUN59.DAT;4;0;
BOUN;60;D6BOUN60.DAT;4;0;
BOUN;61;D6BOUN61.DAT;4;0;
BOUN;62;D6BOUN62.DAT;4;0;
BOUN;63;D6BOUN63.DAT;4;0;
SPEC;00;D6SPEC00.DAT;104;3;33.333
SPEC;01;D6SPEC01.DAT;4;0;
SPEC;02;D6SPEC02.DAT;4;0;
SPEC;03;D6SPEC03.DAT;4;0;
SPEC;04;D6SPEC04.DAT;4;0;
SPEC;05;D6SPEC05.DAT;4;0;
SPEC;06;D6SPEC06.DAT;4;0;
SPEC;07;D6SPEC07.DAT;4;0;
SPEC;08;D6SPEC08.DAT;4;0;
SPEC;09;D6SPEC09.DAT;52;1;48.0
SPEC;10;D6SPEC10.DAT;52;1;48.0
SPEC;11;D6SPEC11.DAT;4;0;
SPEC;12;D6SPEC12.DAT;4;0;
SPEC;13;D6SPEC13.DAT;4;0;
SPEC;14;D6SPEC14.DAT;4;0;
SPEC;15;D6SPEC15.DAT;4;0;
SPEC;16;D6SPEC16.DAT;4;0;
SPEC;17;D6SPEC17.DAT;4;0;
SPEC;18;D6SPEC18.DAT;4;0;
SPEC;19;D6SPEC19.DAT;4;0;
SPEC;20;D6SPEC20.DAT;4;0;
SPEC;21;D6SPEC21.DAT;4;0;
SPEC;22;D6SPEC22.DAT;4;0;
SPEC;23;D6SPEC23.DAT;4;0;
SPEC;24;D6SPEC24.DAT;4;0;
SPEC;25;D6SPEC25.DAT;4;0;
SPEC;26;D6SPEC26.DAT;4;0;
SPEC;27;D6SPEC27.DAT;4;0;
SPEC;28;D6SPEC28.DAT;4;0;
SPEC;29;D6SPEC29.DAT;4;0;
SPEC;30;D6SPEC30.DAT;4;0;
SPEC;31;D6SPEC31.DAT;4;0;
SPEC;32;D6SPEC32.DAT;4;0;
SPEC;33;D6SPEC33.DAT;4;0;
SPEC;34;D6SPEC34.DAT;4;0;
SPEC;35;D6SPEC35.DAT;4;0;
SPEC;36;D6SPEC36.DAT;4;0;
SPEC;37;D6SPEC37.DAT;4;0;
SPEC;38;D6SPEC38.DAT;52;1;48.0
SPEC;39;D6SPEC39.DAT;52;1;48.0
SPEC;40;D6SPEC40.DAT;52;1;48.0
SPEC;41;D6SPEC41.DAT;4;0;
SPEC;42;D6SPEC42.DAT;4;0;
SPEC;43;D6SPEC43.DAT;78;2;37.0
SPEC;44;D6SPEC44.DAT;4;0;
SPEC;45;D6SPEC45.DAT;208;7;29.143
SPEC;46;D6SPEC46.DAT;4;0;
SPEC;47;D6SPEC47.DAT;52;1;48.0
SPEC;48;D6SPEC48.DAT;78;2;37.0
SPEC;49;D6SPEC49.DAT;4;0;
SPEC;50;D6SPEC50.DAT;4;0;
SPEC;51;D6SPEC51.DAT;4;0;
SPEC;52;D6SPEC52.DAT;4;0;
SPEC;53;D6SPEC53.DAT;4;0;
SPEC;54;D6SPEC54.DAT;4;0;
SPEC;55;D6SPEC55.DAT;4;0;
SPEC;56;D6SPEC56.DAT;4;0;
SPEC;57;D6SPEC57.DAT;4;0;
SPEC;58;D6SPEC58.DAT;4;0;
SPEC;59;D6SPEC59.DAT;4;0;
SPEC;60;D6SPEC60.DAT;4;0;
SPEC;61;D6SPEC61.DAT;4;0;
SPEC;62;D6SPEC62.DAT;4;0;
SPEC;63;D6SPEC63.DAT;4;0;
LINK;00;D6LINK00.DAT;4;0;
LINK;01;D6LINK01.DAT;4;0;
LINK;02;D6LINK02.DAT;4;0;
LINK;03;D6LINK03.DAT;4;0;
LINK;04;D6LINK04.DAT;4;0;
LINK;05;D6LINK05.DAT;4;0;
LINK;06;D6LINK06.DAT;4;0;
LINK;07;D6LINK07.DAT;4;0;
LINK;08;D6LINK08.DAT;4;0;
LINK;09;D6LINK09.DAT;4;0;
LINK;10;D6LINK10.DAT;4;0;
LINK;11;D6LINK11.DAT;4;0;
LINK;12;D6LINK12.DAT;4;0;
LINK;13;D6LINK13.DAT;4;0;
LINK;14;D6LINK14.DAT;4;0;
LINK;15;D6LINK15.DAT;4;0;
LINK;16;D6LINK16.DAT;4;0;
LINK;17;D6LINK17.DAT;4;0;
LINK;18;D6LINK18.DAT;4;0;
LINK;19;D6LINK19.DAT;4;0;
LINK;20;D6LINK20.DAT;4;0;
LINK;21;D6LINK21.DAT;4;0;
LINK;22;D6LINK22.DAT;4;0;
LINK;23;D6LINK23.DAT;4;0;
LINK;24;D6LINK24.DAT;4;0;
LINK;25;D6LINK25.DAT;4;0;
LINK;26;D6LINK26.DAT;4;0;
LINK;27;D6LINK27.DAT;4;0;
LINK;28;D6LINK28.DAT;4;0;
LINK;29;D6LINK29.DAT;4;0;
LINK;30;D6LINK30.DAT;4;0;
LINK;31;D6LINK31.DAT;4;0;
LINK;32;D6LINK32.DAT;4;0;
LINK;33;D6LINK33.DAT;4;0;
LINK;34;D6LINK34.DAT;4;0;
LINK;35;D6LINK35.DAT;4;0;
LINK;36;D6LINK36.DAT;4;0;
LINK;37;D6LINK37.DAT;4;0;
LINK;38;D6LINK38.DAT;4;0;
LINK;39;D6LINK39.DAT;4;0;
LINK;40;D6LINK40.DAT;4;0;
LINK;41;D6LINK41.DAT;4;0;
LINK;42;D6LINK42.DAT;4;0;
LINK;43;D6LINK43.DAT;4;0;
LINK;44;D6LINK44.DAT;4;0;
LINK;45;D6LINK45.DAT;4;0;
LINK;46;D6LINK46.DAT;4;0;
LINK;47;D6LINK47.DAT;4;0;
LINK;48;D6LINK48.DAT;4;0;
LINK;49;D6LINK49.DAT;4;0;
LINK;50;D6LINK50.DAT;4;0;
LINK;51;D6LINK51.DAT;4;0;
LINK;52;D6LINK52.DAT;4;0;
LINK;53;D6LINK53.DAT;4;0;
LINK;54;D6LINK54.DAT;4;0;
LINK;55;D6LINK55.DAT;4;0;
LINK;56;D6LINK56.DAT;4;0;
LINK;57;D6LINK57.DAT;4;0;
LINK;58;D6LINK58.DAT;4;0;
LINK;59;D6LINK59.DAT;4;0;
LINK;60;D6LINK60.DAT;4;0;
LINK;61;D6LINK61.DAT;4;0;
LINK;62;D6LINK62.DAT;4;0;
LINK;63;D6LINK63.DAT;4;0;
