index;iname_id;name;type;slot;weapon_class;icon;icon_alt;model;model_flag;armor;price;hands;skill;reach;field_96;field_106;field_108;damage;tier
90;91;SKELL HELM;4;5;1;26;0;33;0;100;25;0;0;0;0;2;0;4;0
91;92;DEADMAN'S HAIR;4;5;0;28;0;34;0;100;5;0;0;0;0;0;0;1;0
92;93;SKEL LEFT SHOULDER;4;9;0;4;0;35;0;100;15;0;0;0;0;1;0;7;0
94;95;RUSTED BROADSWORD;1;0;1;24;0;42;0;0;25;1;3;1536;1;0;1;16;0
96;97;SPIKE HELM;4;5;1;27;0;40;0;100;40;1;0;0;0;2;0;12;0
97;98;RUSTED AXE;1;0;1;25;0;43;0;0;15;1;3;1420;1;0;2;16;2
98;99;ELVEN SWORD;1;0;1;21;0;37;0;0;75;1;2;1420;1;0;1;10;2
99;100;ELVEN DARKSWORD;1;0;1;22;0;39;0;0;15000;5;2;1420;1;0;5;14;3
100;101;ELVEN WOOD SHIELD;5;0;0;20;0;38;0;100;150;1;15;0;0;3;2;12;0
103;104;GOBLIN HAIR;4;5;0;30;0;48;0;1;5;0;0;0;0;0;0;1;0
104;105;GOBLIN SWORD;1;0;1;31;0;49;0;0;25;1;2;1420;1;0;2;12;1
105;106;ELVEN BLOODSWORD;1;0;1;32;0;50;0;0;3500;3;2;1420;1;0;3;12;2
106;107;RAT BITE;1;0;0;0;0;0;0;0;0;0;0;1280;2;0;0;0;0
107;108;DEFENDER SHIELD;5;0;0;290;0;299;0;250;2500;5;16;0;1;6;6;28;0
108;109;BEARD AXE;1;0;1;25;0;43;0;0;30;1;3;1420;1;0;2;16;2
109;110;GOLD;14;0;0;14;0;27;0;0;10;0;0;0;0;0;0;0;0
110;111;TROLL CHAIN;1;0;0;0;0;0;0;0;0;0;0;1756;0;0;0;0;0
111;112;TROLL GIANT'S HAIR;4;6;0;28;0;51;1;1;5;0;0;0;0;0;0;0;0
112;113;PONYTAIL HAIR;4;6;0;28;0;52;0;1;5;0;0;0;0;0;0;0;0
113;114;PONYTAIL HAIR;4;6;0;28;0;53;0;1;5;0;0;0;0;0;0;0;0
114;115;GALDRYN'S HORN;17;0;0;47;668;64;0;0;100000;0;0;0;0;0;0;0;0
115;116;STAFF OF SCARIS;1;3;1;596;0;901;0;0;2000;0;2;1280;1;0;3;14;0
116;117;ALEISTER'S LETTER;15;0;0;500;0;1180;0;0;0;0;0;0;0;0;0;0;0
117;118;MOONSTONE;6;0;0;620;0;65;0;0;0;0;0;0;0;0;0;0;0
118;119;CANDLE OF STARS;6;0;0;38;0;54;0;0;0;0;0;0;0;0;0;0;0
119;120;TEMPLE SUMMONS;15;0;0;500;0;1180;0;0;0;0;0;0;0;0;0;0;0
122;123;CEMETERY KEY;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
123;124;KNAVE OF CUPS;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
124;125;KNAVE OF STARS;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
125;126;KNAVE OF SWORDS;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
126;127;KNAVE OF WANDS;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
127;128;CELESTIAL CANDLE;6;0;0;38;0;54;0;0;0;0;0;0;0;0;0;0;0
128;129;FLAMING SKULL;0;0;0;6;0;55;0;0;0;0;0;0;0;0;0;0;0
129;130;DAVENMOR'S ORDERS;15;0;0;500;0;1180;0;0;0;0;0;0;0;0;0;0;0
130;131;GHOUL CLAW;1;0;0;0;0;0;0;0;0;0;0;1420;1;0;0;0;0
131;132;GHOUL BITE;1;0;0;0;0;0;0;0;0;0;0;1420;1;0;0;0;0
132;133;GREATSWORD;1;0;2;49;0;67;0;0;750;2;4;1536;0;0;2;36;3
133;134;BONE CLUB;1;0;1;48;0;68;0;0;10;1;3;1412;0;0;2;20;0
134;135;RAT BITE;1;0;0;0;0;0;0;0;0;0;0;1380;2;0;0;0;0
136;137;THE GOLDEN AXE;1;0;2;65;0;69;0;0;75000;7;4;1660;0;0;8;52;6
137;138;BARBTONGUE BLADE;1;0;2;58;0;79;0;0;2000;2;4;1536;0;0;3;34;2
140;141;BLADE OF DEATH;1;0;2;56;0;77;0;0;80000;8;4;1536;0;0;12;48;5
141;142;BLADED MACE;1;0;1;50;0;70;0;0;250;2;3;1480;1;0;3;20;1
142;143;STUDDED MACE;1;0;1;51;0;71;0;0;50;1;3;1480;1;0;1;18;1
143;144;KRIS BLADE;1;0;1;63;0;84;0;0;250;1;2;1480;1;0;3;12;2
144;145;SHORT SWORD;1;0;1;64;0;85;0;0;35;1;2;1480;1;0;1;12;1
145;146;FANGTIP BLADE;1;0;1;61;0;82;0;0;200;1;3;1536;1;0;2;18;2
146;147;BARBED FANGTIP;1;0;1;62;0;83;0;0;1000;2;3;1536;1;0;4;20;2
147;148;AZURE SWORD;1;0;1;59;0;80;0;0;2500;5;3;1536;1;0;5;24;2
148;149;TOPAZ SWORD;1;0;1;60;0;81;0;0;2500;5;3;1536;1;0;5;24;2
149;150;GOBLIN WARMASK;4;5;3;52;0;93;0;25;100;1;12;0;0;1;3;10;0
150;151;GOBLIN SHIELD;5;0;0;53;0;74;0;50;25;1;15;0;0;2;2;14;0
151;152;GRIM SHIELD;5;0;0;54;0;75;0;200;225;3;16;0;1;5;5;24;0
152;153;LT.CHAIN MAIL;4;0;0;102;0;187;1;200;3500;2;12;0;0;6;6;18;0
153;154;SEWER KEY;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
154;155;THEATER KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
155;156;LIFT LEVER ROD;6;0;0;658;0;86;0;0;0;0;0;0;0;0;0;0;0
156;157;SEWER BRIDGE KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
157;158;SLIME STING;1;0;0;0;0;0;0;0;0;0;0;1280;2;0;0;0;0
158;159;CHAIN LEGGINGS;4;1;0;103;0;566;1;250;1000;1;13;0;0;5;4;24;0
159;160;SOLDIER'S BELT;17;2;0;106;114;367;1;100;500;1;13;0;0;2;2;0;0
160;161;SUEDE DOUBLET;4;0;0;96;0;183;2;50;35;0;0;0;0;2;0;0;0
161;162;SUEDE PANTS;4;1;0;97;0;567;2;50;35;0;0;0;0;1;0;0;0
162;163;SUEDE ARMS;4;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
163;164;SUEDE BOOTS;4;4;0;98;0;384;2;30;25;0;0;0;0;1;0;0;0
164;165;SUEDE BELT;17;2;0;99;115;368;2;15;10;0;0;0;0;1;0;0;0
165;166;LEATHER DOUBLET;4;0;0;86;0;185;3;75;300;1;12;0;0;4;2;10;0
166;167;LEATHER PANTS;4;1;0;87;0;573;3;75;200;1;12;0;0;2;2;10;0
167;168;LEATHER GLOVES;4;3;0;88;0;403;3;40;150;1;12;0;0;1;1;6;0
168;169;LEATHER BOOTS;4;4;0;89;0;389;3;50;150;1;12;0;0;1;1;6;0
169;170;LEATHER BELT;17;2;0;90;117;373;3;40;50;1;12;0;0;1;1;0;0
170;171;PLATE MAIL;4;0;0;66;0;190;4;500;4000;1;14;0;0;15;6;35;0
171;172;PLATE LEGGINGS;4;1;0;67;0;578;4;500;2500;1;14;0;0;10;6;35;0
172;173;GAUNTLETS;4;3;0;68;0;409;4;250;2000;1;14;0;0;8;3;20;0
173;174;PLATE BOOTS;4;4;0;69;0;394;4;350;2000;1;14;0;0;8;3;25;0
174;175;KNIGHT'S BELT;17;2;0;70;122;378;4;175;1750;1;14;0;0;8;3;15;0
175;176;DEATHLORD PLATE;4;0;0;71;0;191;5;2000;15000;10;14;0;0;22;12;60;0
176;177;DEATHLORD LEGGINGS;4;1;0;72;0;577;5;2000;10000;10;14;0;0;15;12;60;0
177;178;GAUNTLETS OF DEATH;4;3;0;73;0;408;5;2000;7500;10;14;0;0;11;8;40;0
178;179;DEATHLORD BOOTS;4;4;0;74;0;393;5;2000;7500;10;14;0;0;11;8;45;0
179;180;DEATHLORD'S BELT;17;2;0;75;121;377;5;2000;7500;10;14;0;0;11;8;30;0
180;181;SAMURAI DO;4;0;0;107;0;188;6;350;3000;2;13;0;0;11;7;28;0
181;182;SAMURAI HAIDATE;4;1;0;108;0;579;6;350;2000;2;13;0;0;7;7;28;0
182;183;SAMURAI KOTE;4;3;0;109;0;410;6;175;1500;2;13;0;0;3;3;20;0
183;184;SAMURAI SUNEATE;4;4;0;110;0;389;6;250;1500;2;13;0;0;3;3;20;0
184;185;SAMURAI UWA-OBI;17;2;0;111;123;379;6;125;500;2;13;0;0;3;3;16;0
185;186;IMPERIAL MAIL;4;0;0;91;0;189;7;350;3000;2;13;0;0;11;7;28;0
186;187;IMPERIAL LEGGINGS;4;1;0;92;0;571;7;350;2000;2;13;0;0;7;7;28;0
187;188;DRAGON GLOVES;4;3;0;93;0;401;7;175;1500;2;13;0;0;6;4;20;0
188;189;IMPERIAL BOOTS;4;4;0;94;0;387;7;250;1500;2;13;0;0;6;4;20;0
189;190;IMPERIAL'S BELT;17;2;0;95;116;371;7;125;500;2;13;0;0;6;4;16;0
190;191;GOBLIN STAFF;1;0;5;112;0;87;0;0;125;2;5;1792;1;0;1;10;0
191;192;STAFF OF BURNING;1;0;5;113;0;88;0;0;2500;3;5;1792;1;0;5;12;0
192;193;FOOTMAN'S HELM;4;5;1;124;0;91;0;50;125;1;12;0;0;2;2;10;0
193;194;PLATE SHOULDERS;4;7;0;125;0;95;4;350;2500;1;14;0;0;8;6;38;0
194;195;SPIKED SHOULDERS;4;7;0;128;0;98;8;80;175;1;13;0;0;4;4;18;0
196;197;SAMURAI SODE;4;7;0;127;0;104;6;250;1750;2;13;0;0;4;4;20;0
197;198;LOCKPICKS;20;0;0;503;638;829;0;0;100;0;0;0;0;0;0;0;0
203;204;DYNASTY SHOULDERS;4;7;0;130;0;129;7;250;1750;2;13;0;0;4;4;20;0
204;205;SHADOW STONE;6;1;0;131;0;134;0;0;250;0;0;0;0;0;0;0;0
205;206;GIANT STONE SLEDGE;1;0;2;139;0;136;0;0;1000;2;4;1750;0;0;8;52;2
206;207;SHADOW STONE;6;1;0;133;0;137;0;0;250;0;0;0;0;0;0;0;0
207;208;SHADOW STONE;6;1;0;134;0;139;0;0;250;0;0;0;0;0;0;0;0
208;209;SHADOW STONE;6;1;0;132;0;141;0;0;250;0;0;0;0;0;0;0;0
209;210;ATHENA BASH;1;0;0;0;0;0;0;0;0;0;0;2560;0;0;0;0;1
210;211;SHADOW STONE;6;1;0;135;0;143;0;0;250;0;0;0;0;0;0;0;0
211;212;SHADOW CRYSTAL;6;0;0;136;0;145;0;0;250;0;0;0;0;0;0;0;0
212;213;OCCULUS CRYSTAL;0;0;0;136;0;146;0;0;5000;0;0;0;0;0;0;0;0
213;214;SHADOWSLAYER;1;0;1;137;0;147;0;0;2500;0;3;1536;1;0;5;24;2
214;215;ROD OF DIVINITY;1;3;5;548;0;857;0;0;500000;0;5;1792;1;0;7;24;0
217;218;SLIME STING;1;0;0;0;0;0;0;0;0;0;0;1556;2;0;0;0;0
219;220;CHAIN PRO FIRE;4;0;0;427;0;742;9;350;20000;6;13;0;0;10;6;28;0
220;221;WIZARD'S RING;17;1;0;526;527;846;0;0;2000;4;0;0;0;0;0;0;0
221;222;KRYVEN BRACELET;17;0;0;473;474;779;0;0;5000;5;0;0;0;0;0;0;0
222;223;RING OF DELPHI;17;1;0;542;543;854;0;0;2000;4;0;0;0;0;0;0;0
223;224;RING OF SPEED;17;1;0;530;531;848;0;0;2500;4;0;0;0;0;0;0;0
224;225;SWORD PRO UNDEAD;1;0;2;49;0;67;0;0;10000;4;4;1536;0;0;5;38;3
225;226;GREATER HEAL;8;0;0;8;0;21;0;0;100;0;0;0;0;0;0;0;0
226;227;GOLD;14;0;0;14;0;27;0;0;25;0;0;0;0;0;0;0;0
227;228;SHIELD OF ROTHN;5;0;0;565;0;872;0;250;1000;3;16;0;1;5;5;26;0
228;229;LEATHER PRO MAGIC;4;0;0;81;0;186;8;200;10000;5;12;0;0;6;5;16;0
229;230;MAGIC LOCKPICKS;20;0;0;501;636;827;0;0;500;0;0;0;0;0;0;0;0
230;231;SWORD OF STONE;1;0;2;138;0;156;0;0;1500;2;4;1732;0;0;8;48;2
231;232;SHIELD OF STONE;5;0;0;141;0;157;0;500;200;2;17;0;2;10;7;52;0
234;235;TEMPLAR HELM;4;5;1;27;0;151;0;150;250;2;0;0;0;4;0;18;0
236;237;CURE POISON;8;0;0;185;0;233;0;0;100;0;0;0;0;0;0;0;0
237;238;DRAKE BITE;1;0;0;0;0;0;0;0;0;0;0;1280;0;0;0;0;5
238;239;WOLF CLAW;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;0
239;240;WOLF BITE;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;1
240;241;SPIDER CLAW;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;0
241;242;SPIDER BITE;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;1
242;243;SCORAB CLAW;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;0
243;244;SCORAB STING;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;1
244;245;ELVEN LONG BOW;1;2;0;454;0;764;0;0;500;1;10;4096;0;0;3;14;0
245;246;SYLVAN ARROW;3;1;0;3;0;31;0;0;45;0;10;0;5;0;3;0;2
246;247;GIANT SNAKE BITE;1;0;0;0;0;0;0;0;0;0;0;1280;0;0;0;0;2
247;248;RING OF TALENDOR;17;1;0;634;657;1181;0;0;10000;0;0;0;0;0;0;0;0
250;251;SWORD OF STRIKING;1;0;1;22;0;39;0;0;1000;0;2;1420;1;0;3;14;3
253;254;DRAGON EGG;6;0;0;309;0;361;0;0;0;0;0;0;0;0;0;0;0
255;256;STONE OF FOURS;6;0;0;173;0;200;0;0;250;0;0;0;0;0;0;0;0
256;257;MAGIC MIRROR;6;0;0;310;0;362;0;0;5000;0;0;0;0;0;0;0;0
257;258;SWORD OF FLAME;1;0;1;621;0;908;0;0;2500;0;3;1536;0;0;5;22;2
258;259;ARINDALE INN KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
259;260;FATHIEN KEEP KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
260;261;FATHIEN TOMB KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
261;262;FATHIEN PRISON KEY;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
262;263;SKULL LEVER ROD;6;0;0;658;0;86;0;0;0;0;0;0;0;0;0;0;0
263;264;SLIME STING;1;0;0;0;0;0;0;0;0;0;0;1380;2;0;0;0;0
264;265;ELF LEFT SHOULDER;4;9;0;4;0;195;0;50;50;0;0;0;0;2;0;7;0
265;266;ELF RIGHT SHOULDER;4;8;0;4;0;194;0;50;50;0;0;0;0;2;0;7;0
266;267;DREY LEFT SHOULDER;4;9;0;4;0;197;0;30;25;0;0;0;0;2;0;7;0
268;269;NAGA PIKE;1;0;5;144;0;199;0;0;800;2;6;1792;0;0;2;36;2
269;270;THROWING KNIFE;1;1;0;499;0;826;0;0;50;1;9;2048;5;0;1;0;1
270;271;MAIN GAUCHE;1;0;1;3;0;19;0;0;45;1;2;1280;2;0;1;0;1
271;272;SICKLE AXE;1;0;1;448;0;758;0;0;250;2;3;1536;1;0;4;20;2
272;273;EYE OF THE SIGIL;6;1;0;175;0;221;0;0;1000;0;0;0;0;0;0;0;0
273;274;DEMON STONE;6;0;0;174;0;201;0;0;2500;0;0;0;0;0;0;0;0
274;275;SKULL KEY;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
275;276;GOLD KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
277;278;EMPTY VIAL;6;0;0;178;0;232;0;0;0;0;0;0;0;0;0;0;0
278;279;VALDANE'S BLOOD;6;0;0;177;0;348;0;0;0;0;0;0;0;0;0;0;0
279;280;GAS MASK;4;5;3;176;0;222;0;1000;25000;0;12;0;0;1;2;12;0
280;281;SNAKE BITE;1;0;0;0;0;0;0;0;0;0;0;1400;2;0;0;0;1
281;282;GAZER BITE;1;0;0;0;0;0;0;0;0;0;0;1580;0;0;0;0;1
288;289;SARCOPHAGEN JEWEL;6;0;0;286;0;292;0;0;2500;0;0;0;0;0;0;0;0
289;290;KEY OF DEATH;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
292;293;SOUL SPHERE;6;0;0;287;0;293;0;0;0;0;0;0;0;0;0;0;0
293;294;SOUL SPHERE;6;0;0;287;0;293;0;0;0;0;0;0;0;0;0;0;0
294;295;SOUL SPHERE;6;0;0;287;0;293;0;0;0;0;0;0;0;0;0;0;0
295;296;SOUL SPHERE;6;0;0;287;0;293;0;0;0;0;0;0;0;0;0;0;0
296;297;SOUL SPHERE;6;0;0;287;0;293;0;0;0;0;0;0;0;0;0;0;0
297;298;GAZER SHIELD;5;0;0;18;0;32;0;5000;0;0;15;0;3;5;0;0;0
298;299;MINOTAUR FIST;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;0
299;300;2-HANDED SWORD;1;0;2;49;0;67;0;0;500;1;4;1536;0;0;1;34;3
300;301;WOODEN STAFF;1;0;1;288;0;294;0;0;20;1;2;1280;1;0;1;6;0
301;302;STAFF OF SUMMONING;1;0;5;289;0;295;0;0;25000;8;6;1792;0;0;7;32;6
305;306;KEY OF FIRE;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
306;307;CLAW;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;0
307;308;HELM OF DRUIDS;4;5;2;293;0;301;0;125;1000;3;13;0;0;3;5;20;0
308;309;RING OF PROTECTION;17;1;0;534;535;850;0;0;250000;0;0;0;0;0;0;0;0
309;310;GOLD KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
310;311;SKULL KEY;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
311;312;EYE OF EVIL;6;0;0;297;0;311;0;0;0;0;0;0;0;0;0;0;0
312;313;VARTUGG'S EYE;6;0;0;170;0;218;0;0;0;0;0;0;0;0;0;0;0
313;314;CLAW;1;0;0;0;0;0;0;0;0;0;0;1720;1;0;0;0;0
314;315;DEMON KEY;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
315;316;CLAW;1;0;0;0;0;0;0;0;0;0;0;1720;1;0;0;0;0
318;319;MARA'S LETTER;15;0;0;500;0;1180;0;0;0;0;0;0;0;0;0;0;0
319;320;VARTUGG FIST;1;0;0;0;0;0;0;0;0;0;0;1748;3;0;0;0;0
320;321;VARTUGG KICK;1;0;0;0;0;0;0;0;0;0;0;1748;3;0;0;0;0
322;323;TOTEM OF THE TREE;6;0;0;301;0;353;0;0;0;0;0;0;0;0;0;0;0
323;324;TREE BRANCH;1;1;0;302;0;354;0;0;1;0;9;3072;0;0;24;78;1
324;325;TREANT CLAW;1;0;0;0;0;0;0;0;0;0;0;1748;0;0;0;0;0
325;326;STAFF O' THE GROVE;1;0;1;551;0;861;0;0;10000;0;2;1280;1;0;7;18;2
326;327;BOOK OF RUNES;15;0;0;2;0;17;0;0;0;0;0;0;0;0;0;0;0
327;328;MANOR KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
328;329;DUNGEON KEY;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
329;330;BLACK KEY;6;0;0;493;0;820;0;0;0;0;0;0;0;0;0;0;0
330;331;CELLAR KEY;6;0;0;6;0;12;0;0;0;0;0;0;0;0;0;0;0
331;332;THUNDERIN' HAMMER;1;3;1;140;0;155;0;0;2500;0;3;1536;1;0;6;30;3
332;333;IDOL OF DEATH;6;0;0;303;0;355;0;0;0;0;0;0;0;0;0;0;0
334;335;FARGROVE INN KEY;6;0;0;14;0;26;0;0;0;0;0;0;0;0;0;0;0
335;336;BRACELET OF POWER;17;0;0;11;36;23;0;0;10000;7;0;0;0;0;0;0;0
336;337;GNARLED STAFF +2;1;0;1;288;0;294;0;0;10000;6;2;1580;1;0;7;24;4
341;342;CRYSTAL OF CLARITY;6;0;0;308;0;360;0;0;10000;0;0;0;0;0;0;0;0
355;356;BALLISTA SPEAR;1;1;0;362;0;363;0;0;35;0;9;0;0;0;24;64;8
358;359;SMALL MACE;1;0;1;363;0;364;0;0;20;1;2;1412;1;0;1;10;2
359;360;TARGET SHIELD;5;0;0;364;0;365;0;40;15;1;15;0;0;2;1;10;0
360;361;SHADOROTH FIST;1;0;0;0;0;0;0;0;0;0;0;2048;0;0;0;0;0
361;362;GHOST CLAW;1;0;0;0;0;0;0;0;0;0;0;1536;1;0;0;0;0
362;363;CLAW;1;0;0;0;0;0;0;0;0;0;0;1792;0;0;0;0;0
363;364;CLAW;1;0;0;0;0;0;0;0;0;0;0;1780;0;0;0;0;0
364;365;TONGUE;1;0;0;0;0;0;0;0;0;0;0;2560;0;0;0;0;0
365;366;HORNET STING;1;0;0;0;0;0;0;0;0;0;0;1280;2;0;0;0;0
366;367;BIGFISH BITE;1;0;0;0;0;0;0;0;0;0;0;1480;2;0;0;0;0
367;368;PIRANHA BITE;1;0;0;0;0;0;0;0;0;0;0;1024;2;0;0;0;0
368;369;NINJA FIST;1;0;0;0;0;0;0;0;0;0;0;1580;3;0;0;0;0
369;370;NINJA KICK;1;0;0;0;0;0;0;0;0;0;0;1748;3;0;0;0;0
370;371;STUDDED LEATHER;4;0;0;81;0;186;8;125;750;2;12;0;0;5;4;14;0
371;372;STUDDED PANTS;4;1;0;82;0;574;8;125;500;2;12;0;0;3;4;14;0
372;373;STUDDED GLOVES;4;3;0;83;0;404;8;60;375;2;12;0;0;2;3;8;0
373;374;STUDDED BOOTS;4;4;0;84;0;390;8;80;375;2;12;0;0;2;3;12;0
374;375;THIEVES BELT;17;2;0;85;118;374;8;60;250;2;12;0;0;2;3;10;0
375;376;NINJA GARB;4;0;0;431;0;193;10;175;2250;2;12;0;0;6;6;20;0
376;377;NINJA PANTS;4;1;0;407;0;575;10;175;1500;2;12;0;0;4;6;20;0
377;378;NINJA GLOVES;4;3;0;384;0;406;10;80;1250;2;12;0;0;3;6;18;0
378;379;NINJA BOOTS;4;4;0;378;0;391;10;120;1250;2;12;0;0;3;6;20;0
379;380;NINJA BLACK BELT;17;2;0;369;119;375;10;100;1250;2;12;0;0;3;6;18;0
380;381;MYTHNIR MAIL;4;0;0;425;0;740;13;600;6000;7;13;0;0;14;10;28;0
381;382;MYTHNIR LEGGINGS;4;1;0;403;0;565;13;600;4000;7;13;0;0;9;10;28;0
382;383;MYTHNIR GAUNTLETS;4;3;0;379;0;397;13;300;3000;7;13;0;0;7;8;24;0
383;384;MYTHNIR BOOTS;4;4;0;374;0;382;13;400;3000;7;13;0;0;7;8;28;0
384;385;CHAMPION'S BELT;17;2;0;365;370;366;13;200;1500;7;13;0;0;7;8;22;0
385;386;GUILDED MAIL;4;0;0;430;0;745;14;1000;12000;7;14;0;0;20;10;50;0
387;388;GUILDED GLOVES;4;3;0;382;0;403;14;500;6000;7;14;0;0;10;7;36;0
388;389;GUILDED BOOTS;4;4;0;377;0;388;14;750;6000;7;14;0;0;10;7;42;0
389;390;CENTURIAN'S BELT;17;2;0;368;373;372;14;500;3000;7;14;0;0;10;7;32;0
390;391;CRIMSON PLATE MAIL;4;0;0;76;0;192;15;750;6000;7;14;0;0;18;8;40;0
391;392;CRIMSON PLATE LEGS;4;1;0;77;0;576;15;750;4000;7;14;0;0;12;8;40;0
392;393;CRIMSON GAUNTLETS;4;3;0;78;0;407;15;375;3000;7;14;0;0;9;5;34;0
393;394;CRIMSON BOOTS;4;4;0;79;0;392;15;500;3000;7;14;0;0;9;5;40;0
394;395;BLOODPLATE BELT;17;2;0;80;120;376;15;225;2000;7;14;0;0;9;5;30;0
395;396;DEMON SCALE MAIL;4;0;0;428;0;743;17;400;4500;6;13;0;0;12;9;32;0
396;397;DEMON SCALE LEGS;4;1;0;404;0;569;17;400;3000;6;13;0;0;8;9;32;0
397;398;DEMON GAUNTLETS;4;3;0;380;0;399;17;200;2250;6;13;0;0;6;7;26;0
398;399;DEMON BOOTS;4;4;0;375;0;385;17;300;2250;6;13;0;0;6;7;32;0
